Dataset,Pred_len,MSE,MAE
ETTh1,96,0.3745824694633484,0.40084869804836454
ETTh1,192,0.4079124005067916,0.4201713019893283
ETTh1,336,0.4250862519992025,0.4311455378406926
ETTh1,720,0.4504734054207802,0.46420800127089024
ETTh2,96,0.27474680738080115,0.33683453784102485
ETTh2,192,0.3490348036090533,0.384623673700151
ETTh2,336,0.35255832656433705,0.395950596583517
ETTh2,720,0.38333450770005584,0.4258236428722739
ETTm1,96,0.28945663897843843,0.3411069554224443
ETTm1,192,0.3309105171568014,0.37087779424407263
ETTm1,336,0.36556522719476414,0.39192793355590994
ETTm1,720,0.4156168912138258,0.4225207765897115
ETTm2,96,0.1643711446125186,0.25401753120208054
ETTm2,192,0.2225018722343851,0.29300106316804886
ETTm2,336,0.2772339711757912,0.329181386479016
ETTm2,720,0.36594093834892627,0.3849620166279021
